time, algae, rotifers
275.97,0.65,22.48
277,0.77,21.67
277.96,0.3,30.7
278.98,0.52,25.49
279.97,1.26,43.14
281.31,0.22,30.9
282.04,0.11,19.06
283.96,0.58,2.61
284.97,0.88,10.03
286,0.87,33.71
286.98,0.4,34.31
288.25,0.46,36.92
289.13,0.29,26.29
289.9,0.12,21.67
290.93,0.73,23.68
291.95,0.58,42.54
292.94,0.39,21.67
293.95,0.39,25.49
295,0.36,20.87
296.15,0.47,13.24
296.91,1.16,19.47
298,0.64,18.86
298.97,0.25,41.74
299.97,0.51,23.88
300.97,0.41,37.73
302.19,0.71,40.94
303.11,0.61,26.69
303.93,1.04,19.26
305.14,0.54,31.3
305.92,1.44,34.92
307.01,0.47,23.68
308.13,0.35,20.27
309.16,0.45,17.86
310,0.42,23.28
311.01,0.78,36.92
312.03,0.18,32.31
312.92,0.64,24.68
314.02,0.71,28.9
314.99,0.33,38.93
316.21,0.38,16.45
317.05,0.89,23.28
317.95,0.57,26.89
319.07,0.13,25.69
319.92,0.36,19.87
321.06,0.36,36.52
321.95,0.36,53.18
323.17,0.27,77.26
324.19,0.13,140.87
324.94,0.15,86.09
325.99,0.1,20.27
326.99,0.6,15.65
327.99,1.63,58.6
328.96,1.54,99.93
330.26,0.43,225.55
331.21,0.46,56.79
331.95,0.32,13.85
332.94,0.58,9.03
333.97,1.15,27.29
335.05,1.91,48.56
335.97,0.65,69.23
337.24,0.53,46.35
338.06,0.28,26.29
338.97,0.27,11.64
339.93,0.58,8.63
341.06,0.91,15.25
341.98,1.1,33.31
347.01,0.67,34.31
347.96,0.47,39.93
352.1,0.47,20.07
352.93,0.67,19.87
353.96,1.26,44.35
354.97,0.65,63.21
355.95,0.37,41.54
356.95,0.44,28.9
358.19,0.43,18.66
359.13,0.52,19.67
360.01,0.66,10.64
360.9,1.2,37.73
361.95,0.44,36.52
362.92,0.54,21.07
363.94,0.77,30.3
365.03,0.57,35.32
366.18,0.31,20.27
366.91,0.46,14.65
367.94,0.77,21.07
368.91,0.87,34.52
369.93,0.49,38.73
370.95,0.36,23.68
371.98,0.65,13.44
373.01,0.68,27.49
373.95,0.79,36.52
